# Title: 1Hosts (Pro)
# Last modified: 2025-07-20T07:40:51.978Z
# Homepage: https://github.com/badmojr/1Hosts
# ..............
#  |Count: 313,718 rules!
#  |Size: 10.89 MB
#  |
#  |Credits & ©: https://badmojr.github.io/1Hosts/-data/lists/assets.txt
#  |Licence: MPLv2,
#  | https://www.mozilla.org/en-US/MPL/2.0/
#  /
# ( Please report any issues related to this file.
#  \......................................
#  | GH: github.com/badmojr/1Hosts/issues
#  \____________________

127.0.0.1 localhost
0.0.0.0 0-13-9-app.us3.20tadoghq.bubs-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.comproduction-logsitchfix.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-5.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.helm.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.ir-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.learn-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.live1us-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.app.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.mrfadm-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us35.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.oohmediaomprooohmediaesstdl.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.oohstartomprooohstartessprofiles.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.org-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.priv-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.urootge-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.app.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.us3us3-api-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comadmuction-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comls-databeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-commottmacbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.5-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-commrfjobsbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessap2-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.api.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-443s.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-8us3akes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.2-p44us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-acscps.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-appus3s.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.apius3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-appus4s.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-awsus5akes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-drizeakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-engine.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-8.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-fairemoter.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.13-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-i15akes.us3.20tadoghq.customer-age15.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.age15.us3p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-ibpcakes.us3.20tadoghq.customer-agebpc.20tadoghq.evebpc-20tadoghq-stitchfix.20tadoghq.consul.agebpc.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intahttpes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.iress.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.p-us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.20tadoghq-p44.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.9usage-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.admin-td-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.admin-tder-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.aptsrofiles-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.8us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.bpaas-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.ap3-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.5.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.apis-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.bar-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.email-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.heartlandpaymentsystems.20tadoghq.consul.agent.9us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-apicom.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-domains.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-gcp-intake.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-hwrypted.20tadoghq.consul.agent.5-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-intakeusage.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-mobile.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-npm.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfi15.20tadoghq.consul.agent.p44-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfitrust.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.2-p4420tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.443.agent.us3.2.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.aifp.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.appapi-us3.agent.us3.2.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.axiom.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul-5.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.0us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.2-p44us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.8-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.8us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.appus3us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.devage.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.helm-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.iress-us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-0.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-2-p44.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-5.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-usage.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.2.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.9.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.app.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.p.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3app.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3event.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.usageus3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.cps-us3.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.deepl.agent.us3.agent.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.elbod.agent.us3.datadoghq.com
